PROVINCIA,MUNICIPIO,ESTACION,MAGNITUD,PUNTO_MUESTREO,ANO,MES,DIA,H01,V01,H02,V02,H03,V03,H04,V04,H05,V05,H06,V06,H07,V07,H08,V08,H09,V09,H10,V10,H11,V11,H12,V12,H13,V13,H14,V14,H15,V15,H16,V16,H17,V17,H18,V18,H19,V19,H20,V20,H21,V21,H22,V22,H23,V23,H24,V24
28,079,4,1,28079004_1_38,2018,07,05,00002,V,00002,V,00002,V,00002,V,00002,V,00002,V,00002,V,00002,V,00003,V,00003,V,00003,V,00003,V,00003,V,00003,V,00002,V,00002,V,00002,V,00002,V,00003,V,00002,V,00003,V,00003,V,00000,N,00000,N
28,079,4,6,28079004_6_48,2018,07,05,000.2,V,000.2,V,000.2,V,000.2,V,000.2,V,000.2,V,000.2,V,000.2,V,000.3,V,000.4,V,000.3,V,000.3,V,000.3,V,000.3,V,000.3,V,000.3,V,000.3,V,000.3,V,000.3,V,000.3,V,000.3,V,000.4,V,00000,N,00000,N
28,079,4,7,28079004_7_8,2018,07,05,00002,V,00001,V,00001,V,00001,V,00001,V,00001,V,00003,V,00004,V,00011,V,00030,V,00019,V,00024,V,00016,V,00018,V,00015,V,00015,V,00015,V,00015,V,00023,V,00011,V,00024,V,00033,V,00000,N,00000,N
28,079,4,8,28079004_8_8,2018,07,05,00021,V,00018,V,00011,V,00011,V,00012,V,00012,V,00027,V,00039,V,00053,V,00076,V,00060,V,00054,V,00043,V,00048,V,00048,V,00041,V,00047,V,00049,V,00073,V,00062,V,00104,V,00138,V,00000,N,00000,N
28,079,4,12,28079004_12_8,2018,07,05,00024,V,00020,V,00013,V,00012,V,00013,V,00014,V,00031,V,00046,V,00070,V,00122,V,00089,V,00091,V,00067,V,00075,V,00071,V,00064,V,00069,V,00072,V,00109,V,00079,V,00140,V,00189,V,00000,N,00000,N
28,079,8,1,28079008_1_38,2018,07,05,00004,V,00004,V,00004,V,00004,V,00004,V,00004,V,00004,V,00004,V,00004,V,00004,V,00004,V,00004,V,00004,V,00004,V,00004,V,00004,V,00004,V,00004,V,00004,V,00004,V,00004,V,00004,V,00000,N,00000,N
28,079,8,6,28079008_6_48,2018,07,05,000.3,V,000.3,V,000.2,V,000.2,V,000.2,V,000.2,V,000.2,V,000.2,V,000.3,V,000.4,V,000.3,V,000.2,V,000.2,V,000.2,V,000.3,V,000.3,V,000.3,V,000.3,V,000.3,V,000.3,V,000.4,V,000.4,V,00000,N,00000,N
28,079,8,7,28079008_7_8,2018,07,05,00004,V,00003,V,00001,V,00002,V,00001,V,00001,V,00003,V,00020,V,00031,V,00024,V,00013,V,00019,V,00012,V,00009,V,00008,V,00008,V,00004,V,00005,V,00005,V,00011,V,00007,V,00009,V,00000,N,00000,N
28,079,8,8,28079008_8_8,2018,07,05,00045,V,00037,V,00025,V,00026,V,00019,V,00025,V,00038,V,00065,V,00075,V,00065,V,00050,V,00045,V,00041,V,00035,V,00038,V,00041,V,00044,V,00047,V,00049,V,00076,V,00078,V,00092,V,00000,N,00000,N
28,079,8,9,28079008_9_47,2018,07,05,00009,V,00006,V,00009,V,00005,V,00007,V,00007,V,00004,V,00009,V,00009,V,00016,V,00013,V,00009,V,00009,V,00009,V,00010,V,00008,V,00009,V,00002,V,00006,V,00011,V,00016,V,00016,V,00000,N,00000,N
28,079,8,10,28079008_10_47,2018,07,05,00019,V,00015,V,00017,V,00012,V,00012,V,00012,V,00010,V,00021,V,00032,V,00036,V,00029,V,00028,V,00024,V,00021,V,00022,V,00019,V,00020,V,00011,V,00019,V,00026,V,00041,V,00044,V,00000,N,00000,N
28,079,8,12,28079008_12_8,2018,07,05,00051,V,00042,V,00027,V,00028,V,00021,V,00027,V,00043,V,00096,V,00122,V,00102,V,00069,V,00074,V,00060,V,00049,V,00050,V,00053,V,00050,V,00055,V,00056,V,00093,V,00089,V,00106,V,00000,N,00000,N
28,079,8,14,28079008_14_6,2018,07,05,55.50,V,59.01,V,68.70,V,68.52,V,74.47,V,66.06,V,54.14,V,31.45,V,26.35,V,42.08,V,61.59,V,70.82,V,82.16,V,90.86,V,99.89,V,105.0,V,109.3,V,121.7,V,127.9,V,108.2,V,99.41,V,71.24,V,00000,N,00000,N
28,079,8,20,28079008_20_59,2018,07,05,002.2,V,001.6,V,001.0,V,000.9,V,001.0,V,000.9,V,000.9,V,001.3,V,002.1,V,003.0,V,002.3,V,001.8,V,001.8,V,001.1,V,001.5,V,001.4,V,001.5,V,001.9,V,001.9,V,002.2,V,002.0,V,002.2,V,00000,N,00000,N
28,079,8,30,28079008_30_59,2018,07,05,000.5,V,000.3,V,000.2,V,000.2,V,000.2,V,000.2,V,000.2,V,000.3,V,000.7,V,000.8,V,000.5,V,000.4,V,000.3,V,000.3,V,000.4,V,000.3,V,000.4,V,000.4,V,000.4,V,000.5,V,000.6,V,000.7,V,00000,N,00000,N
28,079,8,35,28079008_35_59,2018,07,05,000.3,V,000.2,V,000.1,V,000.1,V,000.1,V,000.1,V,000.1,V,000.2,V,000.6,V,003.2,V,003.0,V,000.5,V,000.3,V,000.2,V,000.2,V,000.2,V,000.2,V,000.3,V,000.2,V,000.3,V,000.3,V,000.3,V,00000,N,00000,N
28,079,8,42,28079008_42_2,2018,07,05,01.49,V,01.46,V,01.45,V,01.46,V,01.46,V,01.45,V,01.45,V,01.47,V,01.54,V,01.56,V,01.68,V,01.55,V,01.49,V,01.48,V,01.47,V,01.47,V,01.48,V,01.49,V,01.49,V,01.49,V,01.51,V,01.57,V,00000,N,00000,N
28,079,8,43,28079008_43_2,2018,07,05,01.43,V,01.42,V,01.42,V,01.42,V,01.42,V,01.42,V,01.43,V,01.43,V,01.43,V,01.45,V,01.64,V,01.52,V,01.46,V,01.47,V,01.44,V,01.44,V,01.44,V,01.44,V,01.44,V,01.43,V,01.42,V,01.43,V,00000,N,00000,N
28,079,8,44,28079008_44_2,2018,07,05,00.06,V,00.04,V,00.03,V,00.04,V,00.04,V,00.03,V,00.02,V,00.04,V,00.11,V,00.11,V,00.04,V,00.03,V,00.03,V,00.02,V,00.03,V,00.03,V,00.04,V,00.04,V,00.05,V,00.05,V,00.09,V,00.14,V,00000,N,00000,N
28,079,11,7,28079011_7_8,2018,07,05,00004,V,00002,V,00001,V,00001,V,00001,V,00001,V,00001,V,00010,V,00024,V,00022,V,00010,V,00012,V,00021,V,00018,V,00013,V,00012,V,00018,V,00023,V,00010,V,00016,V,00013,V,00008,V,00000,N,00000,N
28,079,11,8,28079011_8_8,2018,07,05,00022,V,00012,V,00008,V,00011,V,00007,V,00009,V,00018,V,00043,V,00066,V,00061,V,00039,V,00039,V,00052,V,00056,V,00050,V,00046,V,00070,V,00089,V,00050,V,00068,V,00073,V,00068,V,00000,N,00000,N
28,079,11,12,28079011_12_8,2018,07,05,00028,V,00014,V,00010,V,00012,V,00009,V,00010,V,00020,V,00057,V,00103,V,00095,V,00054,V,00059,V,00085,V,00084,V,00071,V,00065,V,00097,V,00124,V,00066,V,00093,V,00093,V,00080,V,00000,N,00000,N
28,079,11,20,28079011_20_59,2018,07,05,005.9,V,007.6,V,000.7,V,000.4,V,000.7,V,000.9,V,000.7,V,000.8,V,001.4,V,001.4,V,000.9,V,001.2,V,001.7,V,001.9,V,001.8,V,001.1,V,001.9,V,002.1,V,001.7,V,001.3,V,001.5,V,001.8,V,00000,N,00000,N
28,079,11,30,28079011_30_59,2018,07,05,000.3,V,000.1,V,000.1,V,000.1,V,000.1,V,000.1,V,000.1,V,000.2,V,000.3,V,000.4,V,000.2,V,000.3,V,000.3,V,000.3,V,000.4,V,000.2,V,000.4,V,000.5,V,000.4,V,000.5,V,000.4,V,000.5,V,00000,N,00000,N
28,079,11,35,28079011_35_59,2018,07,05,000.2,V,000.2,V,000.1,V,000.1,V,000.1,V,000.1,V,000.1,V,000.1,V,000.1,V,000.2,V,000.1,V,000.2,V,000.2,V,000.2,V,000.2,V,000.2,V,000.2,V,000.3,V,000.3,V,000.2,V,000.2,V,000.2,V,00000,N,00000,N
28,079,16,6,28079016_6_48,2018,07,05,000.2,V,000.1,V,000.1,V,000.1,V,000.1,V,000.1,V,000.2,V,000.3,V,000.3,V,000.2,V,000.2,V,000.2,V,000.2,V,000.2,V,000.2,V,000.2,V,000.2,V,000.2,V,000.2,V,000.2,V,000.2,V,000.2,V,00000,N,00000,N
28,079,16,7,28079016_7_8,2018,07,05,00001,V,00001,V,00001,V,00001,V,00001,V,00001,V,00001,V,00028,V,00017,V,00005,V,00003,V,00005,V,00005,V,00002,V,00002,V,00003,V,00004,V,00002,V,00003,V,00002,V,00001,V,00001,V,00000,N,00000,N
28,079,16,8,28079016_8_8,2018,07,05,00014,V,00009,V,00007,V,00009,V,00010,V,00012,V,00025,V,00068,V,00062,V,00032,V,00023,V,00025,V,00025,V,00018,V,00019,V,00019,V,00021,V,00023,V,00036,V,00035,V,00028,V,00039,V,00000,N,00000,N
28,079,16,12,28079016_12_8,2018,07,05,00016,V,00011,V,00008,V,00011,V,00011,V,00013,V,00026,V,00111,V,00088,V,00039,V,00027,V,00033,V,00033,V,00021,V,00022,V,00023,V,00027,V,00026,V,00040,V,00038,V,00030,V,00040,V,00000,N,00000,N
28,079,16,14,28079016_14_6,2018,07,05,70.11,V,70.51,V,72.25,V,68.67,V,69.53,V,65.78,V,52.93,V,09.99,V,22.56,V,52.27,V,61.68,V,67.01,V,77.53,V,87.23,V,92.84,V,101.7,V,108.8,V,115.4,V,116.4,V,120.8,V,123.8,V,106.8,V,00000,N,00000,N
